"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞴀 ","1ED00","Unknown","Unknown Script",NA,"No","Ottoman_Siyaq_Numbers","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126208
" 𞴁 ","1ED01","OTTOMAN SIYAQ NUMBER ONE","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126209
" 𞴂 ","1ED02","OTTOMAN SIYAQ NUMBER TWO","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126210
" 𞴃 ","1ED03","OTTOMAN SIYAQ NUMBER THREE","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126211
" 𞴄 ","1ED04","OTTOMAN SIYAQ NUMBER FOUR","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126212
" 𞴅 ","1ED05","OTTOMAN SIYAQ NUMBER FIVE","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126213
" 𞴆 ","1ED06","OTTOMAN SIYAQ NUMBER SIX","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126214
" 𞴇 ","1ED07","OTTOMAN SIYAQ NUMBER SEVEN","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126215
" 𞴈 ","1ED08","OTTOMAN SIYAQ NUMBER EIGHT","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126216
" 𞴉 ","1ED09","OTTOMAN SIYAQ NUMBER NINE","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126217
" 𞴊 ","1ED0A","OTTOMAN SIYAQ NUMBER TEN","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126218
" 𞴋 ","1ED0B","OTTOMAN SIYAQ NUMBER TWENTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126219
" 𞴌 ","1ED0C","OTTOMAN SIYAQ NUMBER THIRTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126220
" 𞴍 ","1ED0D","OTTOMAN SIYAQ NUMBER FORTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126221
" 𞴎 ","1ED0E","OTTOMAN SIYAQ NUMBER FIFTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126222
" 𞴏 ","1ED0F","OTTOMAN SIYAQ NUMBER SIXTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126223
" 𞴐 ","1ED10","OTTOMAN SIYAQ NUMBER SEVENTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126224
" 𞴑 ","1ED11","OTTOMAN SIYAQ NUMBER EIGHTY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126225
" 𞴒 ","1ED12","OTTOMAN SIYAQ NUMBER NINETY","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126226
" 𞴓 ","1ED13","OTTOMAN SIYAQ NUMBER ONE HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126227
" 𞴔 ","1ED14","OTTOMAN SIYAQ NUMBER TWO HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126228
" 𞴕 ","1ED15","OTTOMAN SIYAQ NUMBER THREE HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126229
" 𞴖 ","1ED16","OTTOMAN SIYAQ NUMBER FOUR HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126230
" 𞴗 ","1ED17","OTTOMAN SIYAQ NUMBER FIVE HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126231
" 𞴘 ","1ED18","OTTOMAN SIYAQ NUMBER SIX HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126232
" 𞴙 ","1ED19","OTTOMAN SIYAQ NUMBER SEVEN HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126233
" 𞴚 ","1ED1A","OTTOMAN SIYAQ NUMBER EIGHT HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126234
" 𞴛 ","1ED1B","OTTOMAN SIYAQ NUMBER NINE HUNDRED","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126235
" 𞴜 ","1ED1C","OTTOMAN SIYAQ NUMBER ONE THOUSAND","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126236
" 𞴝 ","1ED1D","OTTOMAN SIYAQ NUMBER TWO THOUSAND","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126237
" 𞴞 ","1ED1E","OTTOMAN SIYAQ NUMBER THREE THOUSAND","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126238
" 𞴟 ","1ED1F","OTTOMAN SIYAQ NUMBER FOUR THOUSAND","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126239
" 𞴠 ","1ED20","OTTOMAN SIYAQ NUMBER FIVE THOUSAND","Other Number",NA,"No","Ottoman_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126240
