"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𖠀 ","16800","BAMUM LETTER PHASE-A NGKUE MFON","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92160
" 𖠁 ","16801","BAMUM LETTER PHASE-A GBIEE FON","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92161
" 𖠂 ","16802","BAMUM LETTER PHASE-A PON MFON PIPAEMGBIEE","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92162
" 𖠃 ","16803","BAMUM LETTER PHASE-A PON MFON PIPAEMBA","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92163
" 𖠄 ","16804","BAMUM LETTER PHASE-A NAA MFON","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92164
" 𖠅 ","16805","BAMUM LETTER PHASE-A SHUENSHUET","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92165
" 𖠆 ","16806","BAMUM LETTER PHASE-A TITA MFON","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92166
" 𖠇 ","16807","BAMUM LETTER PHASE-A NZA MFON","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92167
" 𖠈 ","16808","BAMUM LETTER PHASE-A SHINDA PA NJI","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92168
" 𖠉 ","16809","BAMUM LETTER PHASE-A PON PA NJI PIPAEMGBIEE","Bamum Script",NA,"Yes","Bamum_Supplement","Other_Letter","Other","Bamum",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",92169
