"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 퀁 ","D001","HANGUL SYLLABLE KWEONJ","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53249
" 퀂 ","D002","HANGUL SYLLABLE KWEONH","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53250
" 퀃 ","D003","HANGUL SYLLABLE KWEOD","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53251
" 퀄 ","D004","HANGUL SYLLABLE KWEOL","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53252
" 퀅 ","D005","HANGUL SYLLABLE KWEOLG","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53253
" 퀆 ","D006","HANGUL SYLLABLE KWEOLM","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53254
" 퀇 ","D007","HANGUL SYLLABLE KWEOLB","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53255
" 퀈 ","D008","HANGUL SYLLABLE KWEOLS","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53256
" 퀉 ","D009","HANGUL SYLLABLE KWEOLT","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53257
" 퀊 ","D00A","HANGUL SYLLABLE KWEOLP","Hangul Script",NA,"Yes","Hangul_Syllables","Other_Letter","Other","Hangul",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","LVT_Syllable","na","No","No","No","No","No","No","No",53258
